English,Vietnamese
urinal,bồn tiểu
sofa,ghế sô pha
toy,đồ chơi
railway,đường ray
car,xe ô tô
bun,búi tóc
machine,cỗ máy
room,phòng
cup,ly
puppy,cún yêu
pigeon,chim bồ câu
locomotive,đầu máy
kitty,mèo con
truck,xe tải
tent,cái lều
pig,con heo
bird,con chim
shower,vòi hoa sen
basket,cái rổ
goods,hàng hóa
two,hai
beach,bờ biển
suit,bộ đồ
towel,khăn tắm
statue,bức tượng
elephant,con voi
six,sáu
train,xe lửa
lake,hồ
cage,lồng
orange,quả cam
sign,ký tên
shuttle,con thoi
spoon,cái thìa
vest,áo vest
shop,cửa tiệm
goods,hàng hoá
frisbee,đĩa ném
fork,cái nĩa
pot,cái nồi
sunglasses,kính râm
treasuretreasure,bảo tàng
milk,sữa
sheep,cừu
bottle,chai
panda,gấu trúc
bar,quán bar
cake,bánh
calf,bắp chân
store,kho
clothes,quần áo
can,lon
suitcase,vali
three,ba
window,cửa sổ
hay,hay
shuttle,đưa đón
container,hộp đựng
stadium,sân vận động
apple,quả táo
cage,chuồng
boat,con thuyền
car,xe
road,đường bộ
grass,cỏ
laptop,laptop
monkey,con khỉ
path,lối đi
pier,bến tàu
bathtub,bồn tắm
bag,cái túi
duck,con vịt
chicken,gà
eight,tám
ski,trượt tuyết
walkway,đường đi bộ
apartment,chung cư
floor,sàn nhà
banana,chuối
airport,sân bay
year,năm
trolley,xe đẩy
uniform,đồng phục
orange,quả cam 
mountain,núi
train,tàu
